cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
10,11,0,15,57,0,-100,90,300,0,0,0,
20,11,0,21,219,100,-110,60,220,0,0,0,
30,11,0,32,499,200,-750,30,420,-10,0,10,
40,11,0,47,1000,200,-990,0,320,-20,0,10,
50,11,0,65,1631,400,-530,-10,-120,-20,0,10,
60,11,0,75,2337,400,-520,-70,-870,-30,0,0,
70,11,0,58,2973,-6600,80,50,-860,-30,0,0,
80,11,0,71,3527,-300,170,-80,-500,-20,0,0,
90,11,0,77,4325,-100,1890,-60,220,0,0,0,
100,11,0,80,5090,0,2090,240,170,10,0,0,
110,11,0,94,6181,-100,-510,230,-360,0,0,0,
120,11,0,90,7080,-100,-490,-110,70,0,0,0,
130,11,0,99,8016,-100,110,80,360,0,0,0,
140,11,0,97,8973,-100,500,160,410,0,10,0,
150,11,0,92,9953,100,1250,10,470,10,10,0,
160,11,0,109,11036,100,980,10,330,20,0,0,
170,11,0,105,12255,100,-260,60,70,10,0,0,
180,11,0,107,13431,0,40,-110,-440,20,0,0,
190,11,0,102,14531,0,320,-100,-530,20,0,0,
200,11,0,110,15559,-100,-870,-190,-520,10,0,0,
210,11,0,109,16597,-100,-220,330,-350,10,0,-10,
220,11,0,104,17786,-100,1180,-160,-50,20,0,-10,
230,11,0,106,18859,-200,-860,130,-400,10,0,-10,
240,11,0,112,19919,-100,-10,-340,740,0,0,0,
250,11,0,109,20986,-100,500,60,640,0,0,0,
260,11,0,108,22073,0,220,30,550,0,0,10,
270,11,0,108,23170,100,-280,30,380,10,0,10,
280,11,0,120,24306,100,-460,-170,-30,0,0,10,
290,11,0,115,25416,100,290,140,-710,0,0,0,
300,11,0,118,26571,100,840,50,-810,10,10,0,
310,11,0,112,27717,0,-60,310,-690,0,10,0,
320,11,0,108,29046,-100,150,-610,-350,0,10,-10,
330,11,0,113,30252,-100,1050,150,10,10,10,-10,
340,11,0,118,31827,-100,-1000,40,-210,10,10,-10,
350,11,0,106,33130,-100,-580,-40,510,10,10,-10,
360,11,0,111,34263,-100,40,70,730,10,10,0,
370,11,0,120,35566,100,410,-210,540,20,0,0,
380,11,0,117,36699,800,-480,150,-40,20,0,0,
390,11,0,116,37779,1100,0,220,-2280,10,10,-10,
400,11,0,105,38865,1200,750,170,-4570,20,10,-50,
410,11,0,119,39962,1500,170,50,-7180,20,0,-130,
420,11,0,97,41002,1500,690,-130,-9690,30,10,-230,
430,11,0,86,42096,1200,-530,-270,-11530,20,0,-350,
440,11,0,91,43559,300,-510,-450,-13240,20,0,-500,
450,11,0,106,44618,-600,1740,10,-12390,30,0,-640,
460,11,0,63,45410,-1600,760,-190,-11120,30,0,-770,
470,11,0,34,46134,-2300,340,-290,-8400,30,0,-870,
480,11,0,32,46530,-2400,-120,-120,-6980,30,0,-960,
490,11,0,31,47002,-2600,-940,-60,-4980,20,0,-1020,
500,11,0,50,47402,-2400,-1020,290,-2740,20,0,-1050,
510,11,0,28,47743,-2200,-100,-100,-180,20,0,-1060,
520,11,0,50,48132,-1200,1100,-20,2980,30,0,-1030,
530,11,0,43,48739,-100,-290,360,4710,20,0,-990,
540,11,0,56,49494,900,-380,280,2970,20,0,-950,
550,11,0,60,50064,1200,890,0,1340,20,0,-930,
560,11,0,56,50660,1100,330,80,-860,30,0,-930,
570,11,0,77,51373,900,-220,10,-2310,30,0,-950,
580,11,0,78,52158,0,-500,-150,-3160,30,0,-990,
590,11,0,79,53008,-700,-280,160,-2650,30,0,-1020,
600,11,0,74,53905,-1000,620,-290,-300,30,0,-1030,
610,11,0,86,54881,-900,590,-260,2030,40,0,-1010,
620,11,0,88,55744,-100,-230,-150,3300,30,0,-980,
630,11,0,89,56659,100,-640,260,2600,20,0,-950,
640,11,0,103,57615,600,540,-10,780,30,0,-930,
650,11,0,105,58856,1100,1280,-370,-1460,40,0,-940,
660,11,0,103,59851,900,120,390,-3140,40,0,-970,
670,11,2,110,60888,1100,-540,60,-4440,30,0,-1020,
680,11,0,98,61871,1200,400,-30,-5510,30,10,-1080,
690,11,0,128,63087,1200,1070,-20,-6710,40,10,-1150,
700,11,0,96,64323,1200,650,210,-9110,50,10,-1240,
710,11,0,89,65409,500,-80,-10,-10920,40,0,-1360,
720,11,0,96,66492,400,1260,30,-10930,40,0,-1480,
730,11,0,106,67540,-300,-40,-130,-10820,40,0,-1600,
740,11,0,82,68467,-400,-650,-280,-10010,40,0,-1720,
750,11,0,98,69734,-500,-840,0,-8190,40,0,-1820,
760,11,0,97,70698,-100,350,-470,-6650,40,0,-1890,
770,11,0,83,71528,0,1240,270,-6330,50,0,-1960,
780,11,0,95,72371,500,830,270,-6720,50,0,-2040,
790,11,0,88,73250,500,-220,0,-7360,50,10,-2120,
800,11,0,84,74103,400,-360,310,-8330,50,10,-2210,
810,11,0,92,75015,400,-310,-370,-8320,50,10,-2310,
820,11,0,89,75990,-100,550,-90,-8420,50,10,-2400,
830,11,0,89,76908,-100,-180,-240,-8370,50,10,-2490,
840,11,0,88,77812,-300,-310,-10,-8510,60,10,-2580,
850,11,0,69,78888,-500,-630,-210,-6280,60,10,-2660,
860,11,0,74,79969,-800,-840,-180,-4510,60,0,-2710,
870,11,0,43,80818,-900,170,-700,-2730,60,0,-2750,
880,11,0,92,81795,-900,1060,-40,590,70,0,-2750,
890,11,0,94,82759,-300,550,0,2880,70,0,-2720,
900,11,2,100,83713,-100,-940,70,3200,60,0,-2690,
910,11,0,96,84713,-400,60,-90,3170,60,0,-2650,
920,11,0,102,85717,-700,490,-170,4110,50,0,-2610,
930,11,0,98,86665,-900,610,-320,4710,60,0,-2550,
940,11,2,100,87608,-900,700,-140,7310,70,0,-2480,
950,11,0,101,88942,-900,-660,270,9610,70,0,-2370,
960,11,0,98,89910,-600,-590,-140,12210,60,0,-2250,
970,11,2,89,90987,-100,70,-200,11590,60,0,-2110,
980,11,0,88,92096,500,950,230,10550,70,0,-1990,
990,11,0,98,93092,-100,750,300,8460,80,10,-1890,
1000,11,2,102,94055,-100,-720,370,7570,80,10,-1800,
1010,11,0,95,94941,-500,-300,-50,6760,70,10,-1730,
1020,11,2,105,95892,-700,420,-150,6870,70,10,-1650,
1030,11,0,75,96619,-1200,560,-280,7840,70,10,-1560,
1040,11,2,85,97403,-900,30,210,9200,80,10,-1470,
1050,11,0,81,98550,0,-1210,280,10370,80,10,-1350,
1060,11,0,94,99528,900,30,630,8690,70,20,-1250,
1070,11,0,78,100331,1200,1370,-50,5770,80,10,-1170,
1080,11,0,70,101161,1500,980,530,3220,90,20,-1130,
1090,11,0,71,101978,1700,-170,140,1890,80,20,-1110,
1100,11,2,78,102668,1200,-230,130,-1710,80,20,-1120,
1110,11,0,98,103554,900,240,-170,-4030,80,20,-1160,
1120,11,0,84,104452,100,260,40,-4730,80,20,-1210,
1130,11,0,110,105436,-200,-140,320,-4530,80,20,-1260,
1140,11,0,91,106445,-100,-1240,-20,-2540,80,20,-1300,
1150,11,0,93,107586,200,-190,-240,-2690,70,20,-1320,
1160,11,0,108,108549,500,690,220,-3360,80,20,-1360,
1170,11,0,99,109494,600,-260,80,-4310,80,20,-1400,
1180,11,0,101,110442,1200,160,-70,-5210,80,20,-1460,
1190,11,0,106,111383,1100,270,-10,-7190,80,30,-1530,
1200,11,0,98,112379,500,-420,300,-9030,80,30,-1630,
1210,11,0,112,113413,-100,0,30,-9360,80,30,-1730,
1220,11,0,99,114390,-900,790,170,-7050,80,30,-1820,
1230,11,0,92,115390,-1000,120,110,-4650,90,30,-1880,
1240,11,0,87,116657,-900,-230,-50,-1880,80,30,-1900,
1250,11,0,91,117862,-300,-210,-360,780,80,30,-1900,
1260,11,0,93,118889,0,60,470,1700,90,30,-1890,
1270,11,0,104,119882,400,-950,-90,570,80,30,-1880,
1280,11,0,110,120911,400,-780,-140,-670,80,30,-1880,
1290,11,0,113,121954,100,-90,10,-1750,80,30,-1900,
1300,11,0,105,123015,100,660,650,-1760,80,30,-1920,
1310,11,0,103,124079,-100,-50,-350,-1460,80,30,-1940,
1320,11,0,116,125159,-500,-670,110,-1200,80,30,-1950,
1330,11,0,116,126258,-400,-280,-110,790,70,30,-1950,
1340,11,0,108,127705,-100,240,240,1110,80,30,-1940,
1350,11,0,110,128834,0,-320,-50,1070,80,30,-1920,
1360,11,0,114,129974,400,220,-310,950,80,30,-1910,
1370,11,0,113,131034,-500,60,190,-360,80,30,-1910,
1380,11,0,117,132204,200,410,-90,-50,80,30,-1910,
1390,11,0,111,133444,0,-200,-260,-1040,80,30,-1920,
1400,11,0,115,134779,0,800,0,-1120,80,30,-1930,
1410,11,0,118,136016,-100,-660,-190,-1130,80,30,-1940,
1420,11,0,115,137263,-200,-290,200,-640,70,30,-1950,
1430,11,0,119,138389,-200,150,160,640,70,30,-1950,
1440,11,0,126,139905,-100,1310,150,440,80,30,-1950,
1450,11,0,107,141132,100,250,-50,890,90,30,-1940,
1460,11,0,122,142277,-500,-570,0,300,80,30,-1930,
1470,11,0,91,143277,-4600,500,260,890,80,30,-1920,
1480,11,0,113,144131,200,870,420,170,90,30,-1910,
1490,11,0,111,145208,100,430,-110,-760,100,30,-1920,
1500,11,0,112,146360,0,-800,110,-960,90,30,-1930,
1510,11,0,111,147466,0,270,-10,-990,90,30,-1940,
1520,11,0,105,148726,-100,970,-200,-900,90,30,-1950,
1530,11,0,117,150006,-100,1910,-280,-200,110,30,-1960,
1540,11,0,116,151439,-400,-550,190,-270,100,30,-1960,
1550,11,0,116,152547,-400,-30,30,560,100,30,-1950,
1560,11,0,115,153655,-500,230,310,1250,100,30,-1940,
1570,11,0,104,154683,0,270,240,810,100,40,-1930,
1580,11,0,114,155785,100,-330,-200,560,100,30,-1920,
1590,11,0,113,156888,100,-660,150,400,100,30,-1920,
1600,11,0,103,157994,100,-490,410,480,90,40,-1910,
1610,11,3,112,159137,0,-130,20,-20,90,40,-1910,
1620,11,0,117,160274,0,350,170,-410,90,40,-1920,
1630,11,0,117,161500,0,1050,50,-720,100,40,-1920,
1640,11,0,115,162981,100,-1480,-140,-250,90,40,-1930,
1650,11,0,119,164122,0,-480,-170,-450,90,40,-1930,
1660,11,0,121,165277,-100,790,-190,-230,100,40,-1940,
1670,11,0,112,166524,-100,740,310,-370,100,30,-1940,
1680,11,0,114,167682,-100,20,-20,-380,100,30,-1940,
1690,11,2,120,168931,100,440,-310,-360,100,30,-1950,
