cntlog,patternTrace,checkMarker,encCurrentN,encTotalN,angleSensor,gyroVal_X,gyroVal_Y,gyroVal_Z,angle_X,angle_Y,angle_Z,
6,11,0,20,45,0,30,-10,-20,0,0,0,
16,11,0,12,145,0,-300,-210,600,0,0,0,
26,11,0,26,340,100,-770,60,-70,-10,0,10,
36,11,0,31,613,-100,-50,0,-490,-10,0,0,
46,11,0,34,925,-100,290,0,-340,-10,0,0,
56,11,0,42,1290,-100,620,-140,-60,0,0,0,
66,11,0,41,1714,0,1040,-10,100,0,0,0,
76,11,0,45,2171,100,720,350,190,10,0,0,
86,11,0,46,2648,-100,-750,-180,-50,0,0,0,
96,11,0,45,3180,0,50,130,-10,0,0,0,
106,11,0,57,4198,100,290,-30,190,0,0,0,
116,11,0,55,4711,0,-170,-320,280,0,0,0,
126,11,0,54,5236,100,450,30,140,0,0,10,
136,11,0,65,5793,100,80,-50,-30,0,0,10,
146,11,0,59,6354,100,40,10,-200,0,0,0,
156,11,0,57,6947,100,120,10,0,0,0,0,
166,11,0,54,7576,0,810,90,-60,10,0,0,
176,11,0,60,8207,100,-130,-90,-20,10,0,0,
186,11,0,57,8856,0,-340,200,-120,10,0,0,
196,11,0,46,9493,0,-270,10,-260,20,0,0,
206,11,0,46,10076,-100,360,-350,-170,20,0,0,
216,11,0,46,10629,-100,-290,30,-10,20,0,0,
226,11,0,58,11199,0,70,140,-130,20,0,0,
236,11,0,63,11935,100,0,-20,90,20,0,0,
246,11,0,60,12515,-100,220,70,-110,20,0,0,
256,11,0,59,13112,-100,-10,200,110,10,0,0,
266,11,0,62,13722,100,210,180,170,10,0,0,
276,11,0,68,14341,0,-240,10,-50,10,0,0,
286,11,0,63,14972,-100,-790,-70,110,10,0,0,
296,11,0,67,15612,-100,-110,220,330,10,0,0,
306,11,0,67,16262,100,340,90,410,10,0,0,
316,11,0,77,16921,-100,470,-50,0,20,0,0,
326,11,0,67,17615,-100,40,-200,70,20,0,0,
336,11,0,59,18320,-100,310,240,20,20,0,0,
346,11,0,44,19049,-100,740,-80,40,30,0,0,
356,11,0,49,19665,-100,190,-20,-140,30,0,0,
366,11,0,53,20244,-100,280,250,-50,20,0,0,
376,11,0,60,20832,-100,-130,-50,550,20,0,0,
386,11,0,63,21441,0,-380,70,480,20,0,10,
396,11,0,74,22046,0,-10,-60,40,20,0,10,
406,11,0,68,22662,100,-130,360,200,20,10,10,
416,11,0,66,23298,100,460,-130,-40,20,0,10,
426,11,0,61,23936,0,550,150,-240,20,10,10,
436,11,0,70,24601,100,-60,-190,-160,20,10,10,
446,11,0,66,25259,-100,200,-350,-170,30,10,10,
456,11,0,62,25984,-100,0,-40,-10,30,0,0,
466,11,0,56,26864,-100,1020,-140,-90,40,0,0,
476,11,0,61,27486,-100,10,-170,-140,40,0,0,
486,11,0,61,28121,-100,-790,980,400,30,10,0,
496,11,0,59,28725,-100,-410,60,330,30,10,10,
506,11,0,59,29352,-100,-570,-70,680,30,10,10,
516,11,0,67,29990,-100,-10,-210,240,30,10,10,
526,11,0,73,30633,0,400,-150,410,30,10,20,
536,11,0,68,31267,0,350,480,130,30,10,20,
546,11,0,74,31903,0,140,-100,-170,40,10,20,
556,11,0,65,32554,0,-80,310,90,40,10,20,
566,11,0,72,33219,100,-420,-180,-70,30,10,20,
576,11,0,73,34058,100,-720,-80,-50,30,10,20,
586,11,0,72,34695,100,160,300,-450,40,10,10,
596,11,0,64,35379,0,270,-180,-910,40,10,0,
606,11,0,65,36094,100,370,60,-1020,40,10,0,
616,11,0,55,36702,200,-100,0,-1830,40,10,-10,
626,11,0,65,37346,100,60,50,-2950,40,10,-40,
636,11,0,55,37995,0,310,90,-3140,40,10,-80,
646,11,0,56,38610,-100,560,50,-2940,40,10,-110,
656,11,0,58,39207,400,600,40,-2970,40,10,-140,
666,11,0,65,39846,-100,-30,10,-3570,40,10,-180,
676,11,0,62,40408,-100,-940,-20,-4660,40,0,-230,
686,11,0,58,41188,400,-570,-80,-5180,40,0,-290,
696,11,0,66,41783,-200,440,-20,-4600,40,0,-340,
706,11,0,67,42364,-100,750,-180,-4410,50,0,-390,
716,11,0,61,42958,-100,400,-80,-5290,60,0,-450,
726,11,0,53,43605,-100,-80,-190,-6320,50,0,-510,
736,11,0,56,44264,-500,10,-60,-5690,60,0,-580,
746,11,0,49,44789,-500,-270,-70,-4080,60,0,-630,
756,11,0,52,45335,-500,-620,170,-2890,60,0,-660,
766,11,0,49,45894,-400,-480,370,-480,50,10,-680,
